date,fips,county,cases,deaths
2020-02-05,39101,Marion,0.0,0.0
2020-02-06,39101,Marion,0.0,0.0
2020-02-07,39101,Marion,0.0,0.0
2020-02-08,39101,Marion,0.0,0.0
2020-02-09,39101,Marion,0.0,0.0
2020-02-10,39101,Marion,0.0,0.0
2020-02-11,39101,Marion,0.0,0.0
2020-02-12,39101,Marion,0.0,0.0
2020-02-13,39101,Marion,0.0,0.0
2020-02-14,39101,Marion,0.0,0.0
2020-02-15,39101,Marion,0.0,0.0
2020-02-16,39101,Marion,0.0,0.0
2020-02-17,39101,Marion,0.0,0.0
2020-02-18,39101,Marion,0.0,0.0
2020-02-19,39101,Marion,0.0,0.0
2020-02-20,39101,Marion,0.0,0.0
2020-02-21,39101,Marion,0.0,0.0
2020-02-22,39101,Marion,0.0,0.0
2020-02-23,39101,Marion,0.0,0.0
2020-02-24,39101,Marion,0.0,0.0
2020-02-25,39101,Marion,0.0,0.0
2020-02-26,39101,Marion,0.0,0.0
2020-02-27,39101,Marion,0.0,0.0
2020-02-28,39101,Marion,0.0,0.0
2020-02-29,39101,Marion,0.0,0.0
2020-03-01,39101,Marion,0.0,0.0
2020-03-02,39101,Marion,0.0,0.0
2020-03-03,39101,Marion,0.0,0.0
2020-03-04,39101,Marion,0.0,0.0
2020-03-05,39101,Marion,0.0,0.0
2020-03-06,39101,Marion,0.0,0.0
2020-03-07,39101,Marion,1.0,0.0
2020-03-08,39101,Marion,1.0,0.0
2020-03-09,39101,Marion,1.0,0.0
2020-03-10,39101,Marion,1.0,0.0
2020-03-11,39101,Marion,1.0,0.0
2020-03-12,39101,Marion,2.0,0.0
2020-03-13,39101,Marion,2.0,0.0
2020-03-14,39101,Marion,2.0,0.0
2020-03-15,39101,Marion,2.0,0.0
2020-03-16,39101,Marion,3.0,0.0
2020-03-17,39101,Marion,5.0,0.0
2020-03-18,39101,Marion,5.0,0.0
2020-03-19,39101,Marion,5.0,0.0
2020-03-20,39101,Marion,7.0,0.0
2020-03-21,39101,Marion,8.0,0.0
2020-03-22,39101,Marion,9.0,0.0
2020-03-23,39101,Marion,9.0,0.0
2020-03-24,39101,Marion,10.0,0.0
2020-03-25,39101,Marion,10.0,0.0
2020-03-26,39101,Marion,10.0,0.0
2020-03-27,39101,Marion,13.0,0.0
2020-03-28,39101,Marion,15.0,0.0
2020-03-29,39101,Marion,17.0,0.0
2020-03-30,39101,Marion,20.0,0.0
2020-03-31,39101,Marion,21.0,0.0
2020-04-01,39101,Marion,24.0,0.0
2020-04-02,39101,Marion,28.0,0.0
2020-04-03,39101,Marion,30.0,0.0
2020-04-04,39101,Marion,36.0,0.0
2020-04-05,39101,Marion,38.0,0.0
2020-04-06,39101,Marion,41.0,0.0
2020-04-07,39101,Marion,48.0,0.0
2020-04-08,39101,Marion,53.0,0.0
2020-04-09,39101,Marion,58.0,0.0
2020-04-10,39101,Marion,63.0,0.0
2020-04-11,39101,Marion,108.0,0.0
2020-04-12,39101,Marion,108.0,0.0
2020-04-13,39101,Marion,110.0,0.0
2020-01-21,39103,Medina,0.0,0.0
2020-01-22,39103,Medina,0.0,0.0
2020-01-23,39103,Medina,0.0,0.0
2020-01-24,39103,Medina,0.0,0.0
2020-01-25,39103,Medina,0.0,0.0
2020-01-26,39103,Medina,0.0,0.0
2020-01-27,39103,Medina,0.0,0.0
2020-01-28,39103,Medina,0.0,0.0
2020-01-29,39103,Medina,0.0,0.0
2020-01-30,39103,Medina,0.0,0.0
